"","cluster","variable","value","pos","count"
"310","4","33",0,0,""
"311","5","33",0,0,""
"312","6","33",0,0,""
"313","1","95",0,1,""
"314","2","95",0,1,""
"315","3","95",0,1,""
"316","4","95",0,1,""
"317","5","95",1,0.5,""
"318","6","95",0,0,""
"319","1","35",1,0.5,""
"320","2","35",0,0,""
"321","3","35",0,0,""
"322","4","35",0,0,""
"323","5","35",0,0,""
"324","6","35",0,0,""
"325","1","55",0,1,""
"326","2","55",1,0.5,""
"327","3","55",0,0,""
"328","4","55",0,0,""
"329","5","55",0,0,""
"330","6","55",0,0,""
"331","1","31",0,1,""
"332","2","31",1,0.5,""
"333","3","31",0,0,""
"334","4","31",0,0,""
"335","5","31",0,0,""
"336","6","31",0,0,""
"337","1","17",1,0.5,""
"338","2","17",0,0,""
"339","3","17",0,0,""
"340","4","17",0,0,""
"341","5","17",0,0,""
"342","6","17",0,0,""
"343","1","76",0,1,""
"344","2","76",1,0.5,""
"345","3","76",0,0,""
"346","4","76",0,0,""
"347","5","76",0,0,""
"348","6","76",0,0,""
"349","1","14",0,1,""
"350","2","14",1,0.5,""
"351","3","14",0,0,""
"352","4","14",0,0,""
"353","5","14",0,0,""
"354","6","14",0,0,""
"355","1","22",1,0.5,""
"356","2","22",0,0,""
"357","3","22",0,0,""
"358","4","22",0,0,""
"359","5","22",0,0,""
"360","6","22",0,0,""
"361","1","54",0,1,""
"362","2","54",0,1,""
"363","3","54",0,1,""
"364","4","54",0,1,""
"365","5","54",1,0.5,""
"366","6","54",0,0,""
"367","1","12",1,0.5,""
"368","2","12",0,0,""
"369","3","12",0,0,""
"370","4","12",0,0,""
"371","5","12",0,0,""
"372","6","12",0,0,""
"373","1","90",0,1,""
"374","2","90",1,0.5,""
"375","3","90",0,0,""
"376","4","90",0,0,""
"377","5","90",0,0,""
"378","6","90",0,0,""
"379","1","77",1,0.5,""
"380","2","77",0,0,""
"381","3","77",0,0,""
"382","4","77",0,0,""
"383","5","77",0,0,""
"384","6","77",0,0,""
"385","1","59",0,1,""
"386","2","59",1,0.5,""
"387","3","59",0,0,""
"388","4","59",0,0,""
"389","5","59",0,0,""
"390","6","59",0,0,""
"391","1","64",1,0.5,""
"392","2","64",0,0,""
"393","3","64",0,0,""
"394","4","64",0,0,""
"395","5","64",0,0,""
"396","6","64",0,0,""
"397","1","5",1,0.5,""
"398","2","5",0,0,""
"399","3","5",0,0,""
"400","4","5",0,0,""
"401","5","5",0,0,""
"402","6","5",0,0,""
"403","1","70",1,0.5,""
"404","2","70",0,0,""
"405","3","70",0,0,""
"406","4","70",0,0,""
"407","5","70",0,0,""
"408","6","70",0,0,""
"409","1","57",0,1,""
"410","2","57",0,1,""
"411","3","57",0,1,""
"412","4","57",0,1,""
"413","5","57",1,0.5,""
"414","6","57",0,0,""
"415","1","88",0,1,""
"416","2","88",0,1,""
"417","3","88",0,1,""
"418","4","88",0,1,""
"419","5","88",1,0.5,""
"420","6","88",0,0,""
"421","1","80",1,0.5,""
"422","2","80",0,0,""
"423","3","80",0,0,""
"424","4","80",0,0,""
"425","5","80",0,0,""
"426","6","80",0,0,""
"427","1","65",0,1,""
"428","2","65",0,1,""
"429","3","65",0,1,""
"430","4","65",0,1,""
"431","5","65",1,0.5,""
"432","6","65",0,0,""
"433","1","24",0,1,""
"434","2","24",0,1,""
"435","3","24",0,1,""
"436","4","24",0,1,""
"437","5","24",1,0.5,""
"438","6","24",0,0,""
"439","1","71",0,1,""
"440","2","71",0,1,""
"441","3","71",0,1,""
"442","4","71",0,1,""
"443","5","71",1,0.5,""
"444","6","71",0,0,""
"445","1","41",0,1,""
"446","2","41",0,1,""
"447","3","41",0,1,""
"448","4","41",0,1,""
"449","5","41",1,0.5,""
"450","6","41",0,0,""
"451","1","46",0,1,""
"452","2","46",0,1,""
"453","3","46",0,1,""
"454","4","46",0,1,""
"455","5","46",1,0.5,""
"456","6","46",0,0,""
"457","1","1",1,0.5,""
"458","2","1",0,0,""
"459","3","1",0,0,""
"460","4","1",0,0,""
"461","5","1",0,0,""
"462","6","1",0,0,""
"463","1","20",1,0.5,""
"464","2","20",0,0,""
"465","3","20",0,0,""
"466","4","20",0,0,""
"467","5","20",0,0,""
"468","6","20",0,0,""
"469","1","45",1,0.5,""
"470","2","45",0,0,""
"471","3","45",0,0,""
"472","4","45",0,0,""
"473","5","45",0,0,""
"474","6","45",0,0,""
"475","1","2",1,0.5,""
"476","2","2",0,0,""
"477","3","2",0,0,""
"478","4","2",0,0,""
"479","5","2",0,0,""
"480","6","2",0,0,""
"481","1","30",1,0.5,""
"482","2","30",0,0,""
"483","3","30",0,0,""
"484","4","30",0,0,""
"485","5","30",0,0,""
"486","6","30",0,0,""
"487","1","51",1,0.5,""
"488","2","51",0,0,""
"489","3","51",0,0,""
"490","4","51",0,0,""
"491","5","51",0,0,""
"492","6","51",0,0,""
"493","1","94",1,0.5,""
"494","2","94",0,0,""
"495","3","94",0,0,""
"496","4","94",0,0,""
"497","5","94",0,0,""
"498","6","94",0,0,""
"499","1","84",1,0.5,""
"500","2","84",0,0,""
"501","3","84",0,0,""
"502","4","84",0,0,""
"503","5","84",0,0,""
"504","6","84",0,0,""
"505","1","43",0,1,""
"506","2","43",0,1,""
"507","3","43",0,1,""
"508","4","43",0,1,""
"509","5","43",1,0.5,""
"510","6","43",0,0,""
"511","1","81",0,1,""
"512","2","81",0,1,""
"513","3","81",0,1,""
"514","4","81",0,1,""
"515","5","81",1,0.5,""
"516","6","81",0,0,""
"517","1","96",0,1,""
"518","2","96",0,1,""
"519","3","96",0,1,""
"520","4","96",0,1,""
"521","5","96",1,0.5,""
"522","6","96",0,0,""
"523","1","26",0,1,""
"524","2","26",0,1,""
