"","cluster","variable","value","pos","freq","freq2"
"152","cluster_2","31",0.0555555555555556,0.75,0.06,""
"153","cluster_2","17",0,0.777777777777778,0,""
"154","cluster_2","76",0.0555555555555556,0.805555555555556,0.06,""
"155","cluster_2","14",0.0555555555555556,0.861111111111111,0.06,""
"156","cluster_2","22",0,0.888888888888889,0,""
"157","cluster_2","54",0,0.888888888888889,0,""
"158","cluster_2","12",0,0.888888888888889,0,""
"159","cluster_2","90",0.0555555555555556,0.916666666666667,0.06,""
"160","cluster_2","77",0,0.944444444444445,0,""
"161","cluster_2","59",0.0555555555555556,0.972222222222222,0.06,""
"162","cluster_2","64",0,1,0,""
"163","cluster_2","5",0,1,0,""
"164","cluster_2","70",0,1,0,""
"165","cluster_2","57",0,1,0,""
"166","cluster_2","88",0,1,0,""
"167","cluster_2","80",0,1,0,""
"168","cluster_2","65",0,1,0,""
"169","cluster_2","24",0,1,0,""
"170","cluster_2","71",0,1,0,""
"171","cluster_2","41",0,1,0,""
"172","cluster_2","46",0,1,0,""
"173","cluster_2","1",0,1,0,""
"174","cluster_2","20",0,1,0,""
"175","cluster_2","45",0,1,0,""
"176","cluster_2","2",0,1,0,""
"177","cluster_2","30",0,1,0,""
"178","cluster_2","51",0,1,0,""
"179","cluster_2","94",0,1,0,""
"180","cluster_2","84",0,1,0,""
"181","cluster_2","43",0,1,0,""
"182","cluster_2","81",0,1,0,""
"183","cluster_2","96",0,1,0,""
"184","cluster_2","26",0,1,0,""
"185","cluster_2","86",0,1,0,""
"186","cluster_2","49",0,1,0,""
"187","cluster_2","58",0,1,0,""
"188","cluster_2","10",0,1,0,""
"189","cluster_2","73",0,1,0,""
"190","cluster_2","93",0,1,0,""
"191","cluster_2","21",0,1,0,""
"192","cluster_2","34",0,1,0,""
"193","cluster_3","72",0.0526315789473684,0.0263157894736842,0.05,""
"194","cluster_3","56",0.0526315789473684,0.0789473684210526,0.05,""
"195","cluster_3","74",0.0526315789473684,0.131578947368421,0.05,""
"196","cluster_3","68",0.0526315789473684,0.184210526315789,0.05,""
"197","cluster_3","53",0.0526315789473684,0.236842105263158,0.05,""
"198","cluster_3","85",0.0526315789473684,0.289473684210526,0.05,""
"199","cluster_3","37",0.0526315789473684,0.342105263157895,0.05,""
"200","cluster_3","63",0.0526315789473684,0.394736842105263,0.05,""
"201","cluster_3","38",0.0526315789473684,0.447368421052632,0.05,""
"202","cluster_3","11",0.0526315789473684,0.5,0.05,""
"203","cluster_3","23",0.0526315789473684,0.552631578947368,0.05,""
"204","cluster_3","52",0.0526315789473684,0.605263157894737,0.05,""
"205","cluster_3","79",0.0526315789473684,0.657894736842105,0.05,""
"206","cluster_3","27",0.0526315789473684,0.710526315789474,0.05,""
"207","cluster_3","8",0.0526315789473684,0.763157894736842,0.05,""
"208","cluster_3","44",0.0526315789473684,0.81578947368421,0.05,""
"209","cluster_3","19",0.0526315789473684,0.868421052631579,0.05,""
"210","cluster_3","75",0.0526315789473684,0.921052631578947,0.05,""
"211","cluster_3","47",0.0526315789473684,0.973684210526315,0.05,""
"212","cluster_3","4",0,1,0,""
"213","cluster_3","7",0,1,0,""
"214","cluster_3","6",0,1,0,""
"215","cluster_3","29",0,1,0,""
"216","cluster_3","92",0,1,0,""
"217","cluster_3","62",0,1,0,""
"218","cluster_3","18",0,1,0,""
"219","cluster_3","60",0,1,0,""
"220","cluster_3","16",0,1,0,""
"221","cluster_3","87",0,1,0,""
"222","cluster_3","82",0,1,0,""
"223","cluster_3","36",0,1,0,""
"224","cluster_3","13",0,1,0,""
"225","cluster_3","61",0,1,0,""
"226","cluster_3","3",0,1,0,""
"227","cluster_3","25",0,1,0,""
"228","cluster_3","78",0,1,0,""
"229","cluster_3","69",0,1,0,""
"230","cluster_3","67",0,1,0,""
"231","cluster_3","15",0,1,0,""
"232","cluster_3","39",0,1,0,""
"233","cluster_3","9",0,1,0,""
"234","cluster_3","66",0,1,0,""
"235","cluster_3","50",0,1,0,""
"236","cluster_3","91",0,1,0,""
"237","cluster_3","42",0,1,0,""
"238","cluster_3","28",0,1,0,""
"239","cluster_3","89",0,1,0,""
"240","cluster_3","83",0,1,0,""
"241","cluster_3","32",0,1,0,""
"242","cluster_3","48",0,1,0,""
"243","cluster_3","40",0,1,0,""
"244","cluster_3","33",0,1,0,""
"245","cluster_3","95",0,1,0,""
"246","cluster_3","35",0,1,0,""
"247","cluster_3","55",0,1,0,""
"248","cluster_3","31",0,1,0,""
"249","cluster_3","17",0,1,0,""
"250","cluster_3","76",0,1,0,""
"251","cluster_3","14",0,1,0,""
"252","cluster_3","22",0,1,0,""
"253","cluster_3","54",0,1,0,""
"254","cluster_3","12",0,1,0,""
"255","cluster_3","90",0,1,0,""
"256","cluster_3","77",0,1,0,""
"257","cluster_3","59",0,1,0,""
"258","cluster_3","64",0,1,0,""
"259","cluster_3","5",0,1,0,""
"260","cluster_3","70",0,1,0,""
"261","cluster_3","57",0,1,0,""
"262","cluster_3","88",0,1,0,""
"263","cluster_3","80",0,1,0,""
"264","cluster_3","65",0,1,0,""
"265","cluster_3","24",0,1,0,""
"266","cluster_3","71",0,1,0,""
"267","cluster_3","41",0,1,0,""
"268","cluster_3","46",0,1,0,""
"269","cluster_3","1",0,1,0,""
"270","cluster_3","20",0,1,0,""
"271","cluster_3","45",0,1,0,""
"272","cluster_3","2",0,1,0,""
"273","cluster_3","30",0,1,0,""
"274","cluster_3","51",0,1,0,""
"275","cluster_3","94",0,1,0,""
"276","cluster_3","84",0,1,0,""
"277","cluster_3","43",0,1,0,""
"278","cluster_3","81",0,1,0,""
"279","cluster_3","96",0,1,0,""
"280","cluster_3","26",0,1,0,""
"281","cluster_3","86",0,1,0,""
"282","cluster_3","49",0,1,0,""
"283","cluster_3","58",0,1,0,""
"284","cluster_3","10",0,1,0,""
"285","cluster_3","73",0,1,0,""
"286","cluster_3","93",0,1,0,""
"287","cluster_3","21",0,1,0,""
"288","cluster_3","34",0,1,0,""
"289","cluster_4","72",0,0,0,""
"290","cluster_4","56",0,0,0,""
"291","cluster_4","74",0,0,0,""
"292","cluster_4","68",0,0,0,""
"293","cluster_4","53",0,0,0,""
"294","cluster_4","85",0,0,0,""
"295","cluster_4","37",0,0,0,""
"296","cluster_4","63",0,0,0,""
"297","cluster_4","38",0,0,0,""
"298","cluster_4","11",0,0,0,""
"299","cluster_4","23",0,0,0,""
"300","cluster_4","52",0,0,0,""
"301","cluster_4","79",0,0,0,""
