Chip Run Info,F:\1363029192\ChipRun.bml,1363029192,96.96 (136x),GE 96x96 Express+Melt_v1,ROX,EvaGreen,11/7/25 19:02,1:43:02,X9-190034,SamplePlateName: Undefined,SamplePlateBarCode: Undefined,ReagentPlateName: Undefined,ReagentPlateBarCode: Undefined,
Application Version,4.7.1,,,,,,,,,,,,,
Application Build,20200930.17,,,,,,,,,,,,,
Export Type,Table Results,,,,,,,,,,,,,
Quality Threshold,0.65,,,,,,,,,,,,,
Baseline Correction Method,Linear (Derivative),,,,,,,,,,,,,
Ct Threshold Method,Auto (Global),,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,,
Chamber,Sample,Sample,Sample,EvaGreen,EvaGreen,Ct,Ct,Ct,Ct,Tm,Tm,Tm,,
ID,Name,Type,rConc,Name,Type,Value,Quality,Call,Threshold,In Range,Out Range,Peak Ratio,,
S96-A60,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,TRAF2,Test,16.64011857,1,Pass,0.023073164,80.88444903,64.31636553,0.959423006,,TRAF2
S96-A59,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,RSAD2,Test,999,0,Flag,0.023073164,999,999,0,,RSAD2
S96-A58,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,MAP2K6,Test,16.37148809,1,Pass,0.023073164,79.95190085,66.51019202,0.970016793,,MAP2K6
S96-A57,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,IRF1,Test,11.64184706,1,Pass,0.023073164,81.22482688,64.92256322,0.974057607,,IRF1
S96-A56,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,IFI44,Test,14.85348356,1,Pass,0.023073164,78.97778642,999,1,,IFI44
S96-A55,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,PDL-1,Test,15.71041881,1,Pass,0.023073164,82.09271752,65.31341769,0.956725644,,PDL-1
S96-A66,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,TNF,Test,18.26708583,0,Flag,0.023073164,999,83.676347,0,,TNF
S96-A65,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,IL7,Test,16.4194047,1,Pass,0.023073164,80.10344491,999,1,,IL7
S96-A64,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,IL27,Test,999,0,Flag,0.023073164,999,999,0,,IL27
S96-A63,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,IFNG,Test,999,0,Flag,0.023073164,999,999,0,,IFNG
