Chip Run Info,F:\1363029033\ChipRun.bml,1363029033,96.96 (136x),GE 96x96 Express+Melt_v1,ROX,EvaGreen,11/8/2025 9:55:10 AM,01:44:51,X9-190034,SamplePlateName: Undefined,SamplePlateBarCode: Undefined,ReagentPlateName: Undefined,ReagentPlateBarCode: Undefined
Application Version,4.7.1
Application Build,20200930.1707
Export Type,Table Results
Quality Threshold,0.65
Baseline Correction Method,Linear (Derivative)
Ct Threshold Method,Auto (Global)


Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen
Chamber,Sample,Sample,Sample,EvaGreen,EvaGreen,Ct,Ct,Ct,Ct,Tm,Tm,Tm
ID,Name,Type,rConc,Name,Type,Value,Quality,Call,Threshold,In Range,Out Range,Peak Ratio
S96-A44,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,LEPR,Test,999,0,Flag,0.021487681662316,999,999,0
S96-A45,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,PDGFA,Test,15.0843411961011,1,Pass,0.021487681662316,84.2716153111746,65.9014938362492,0.90133447906584
S96-A46,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,RSPO1,Test,999,0,Flag,0.021487681662316,999,999,0
S96-A47,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,TIMP2,Test,17.1184863259235,0,Flag,0.021487681662316,999,82.6895090268824,0
S96-A48,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,VEGFA,Test,12.3513173643865,1,Pass,0.021487681662316,78.9856963023944,65.659327543538,0.926910713517864
S96-A54,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,ICAM2,Test,999,0,Flag,0.021487681662316,999,999,0
S96-A53,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,GFAP,Test,29.0652027346044,0,Flag,0.021487681662316,999,999,0
S96-A52,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,ADGRE1,Test,999,0,Flag,0.021487681662316,999,999,0
S96-A51,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,COL1A2,Test,999,0,Flag,0.021487681662316,999,999,0
S96-A50,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,CD74,Test,10.7053825801433,1,Pass,0.021487681662316,80.0509990156317,65.5316244512621,0.93133206746804
S96-A49,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,BMP5,Test,999,0,Flag,0.021487681662316,999,999,0
S96-A60,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,VEGFB,Test,21.5956948851577,1,Pass,0.021487681662316,84.9992724550361,999,1
S96-A59,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,TLR3,Test,999,0,Flag,0.021487681662316,999,999,0
S96-A58,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,SELE,Test,21.7367355639329,0,Flag,0.021487681662316,78.4122049500368,66.4286826911,0.209834849350136
S96-A57,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,PDGFB,Test,999,0,Flag,0.021487681662316,999,999,0
S96-A56,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,LY75,Test,17.1033444498294,1,Pass,0.021487681662316,80.2964623948854,65.8268506941903,0.91043261608774
S96-A55,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,INS1,Test,17.5529422909954,0,Flag,0.021487681662316,81.6681708144031,65.1496331253347,0.772173025096781
S96-A66,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,ICOSL,Test,999,0,Flag,0.021487681662316,999,999,0
S96-A65,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,GHRL,Test,15.5893292210862,1,Pass,0.021487681662316,80.824516855543,65.8894035071629,0.929457045770046
S96-A64,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,FAP,Test,999,0,Flag,0.021487681662316,999,999,0
